SK_QUESTAO;ID_QUESTAO;ID_RESPOSTA;DESC_QUESTAO;DESC_RESPOSTA;DT_INCLUSAO_DW;DT_ALTERACAO_DW
2.0;1.0;1.0;Quais são as principais motivações?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Obter fonte complementar de renda                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
3.0;1.0;2.0;Quais são as principais motivações?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Alternativa ao desemprego                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
4.0;1.0;3.0;Quais são as principais motivações?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;Obter maiores ganhos com um empreendimento coletivo                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
5.0;2.0;9.0;Quais foram os maiores desafios?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Falta de matéria prima                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
6.0;2.0;10.0;Quais foram os maiores desafios?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Falta de gestão                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
7.0;2.0;11.0;Quais foram os maiores desafios?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;Falta de equipamentos/tecnologia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
8.0;3.0;12.0;Quais apoios públicos existem?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Ministério/Secretaria do Trabalho                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
9.0;3.0;15.0;Quais apoios públicos existem?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Leis Municipais                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
10.0;3.0;18.0;Quais apoios públicos existem?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Prefeitura Local                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
11.0;3.0;20.0;Quais apoios públicos existem?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;Associações de Mercado                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
12.0;4.0;21.0;Como é feita a transparência na distribuição de renda?                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Reuniões                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
13.0;4.0;22.0;Como é feita a transparência na distribuição de renda?                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Quadros de avisos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
14.0;4.0;23.0;Como é feita a transparência na distribuição de renda?                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Plataforma Online                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
15.0;5.0;25.0;Qual a frequência das reuniões?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Diária                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
16.0;5.0;26.0;Qual a frequência das reuniões?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Semanal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
17.0;5.0;27.0;Qual a frequência das reuniões?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Mensal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
18.0;5.0;30.0;Qual a frequência das reuniões?                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;Outros                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
19.0;6.0;31.0;Como é feita a divulgação do empreendimento?                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Redes Sociais                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
20.0;6.0;35.0;Como é feita a divulgação do empreendimento?                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;Não é realizado                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
21.0;7.0;37.0;Qual é a atividade econômica predominante?                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Prestação de serviços                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
22.0;7.0;38.0;Qual é a atividade econômica predominante?                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Produção                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
23.0;7.0;39.0;Qual é a atividade econômica predominante?                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;Comercialização                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
24.0;8.0;41.0;Qual o público-alvo dos produtos/serviços oferecidos?                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Consumidor final                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
25.0;8.0;43.0;Qual o público-alvo dos produtos/serviços oferecidos?                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;Empresa(s) privada(s) de produção                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
26.0;9.0;46.0;Como é feita a entrada de novos membros (cooperados, associados, etc)?                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Livre Admissão                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
27.0;9.0;47.0;Como é feita a entrada de novos membros (cooperados, associados, etc)?                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Critérios Estabelecidos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
28.0;9.0;48.0;Como é feita a entrada de novos membros (cooperados, associados, etc)?                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Entrevista                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
29.0;9.0;49.0;Como é feita a entrada de novos membros (cooperados, associados, etc)?                                                                                                                                                                                                                                                                                                                                                                                                                                              ;Outros                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
30.0;10.0;50.0;Seu município/região possui alguma organização de apoio a economia solidária?                                                                                                                                                                                                                                                                                                                                                                                                                                       ;Não                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;2020/06/23 21:27:07.000000000;2020/06/23 22:10:25.000000000
