SK_EMPREENDIMENTO;SK_REDE_ECONOMICA;SK_TEMPO;SK_GERACAO_RENDA;SK_QUESTAO;VL_QUANTIDADE;DT_INCLUSAO_DW
3.0;4.0;20200423.0;4.0;3.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;6.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;10.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;12.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;15.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;19.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;22.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;25.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;28.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;31.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;36.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;39.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200423.0;4.0;44.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200423.0;7.0;4.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200423.0;7.0;7.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200423.0;7.0;8.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200423.0;7.0;14.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;26.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;31.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;35.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;39.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;40.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;4.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;6.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;9.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;12.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;16.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;19.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;21.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;24.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;28.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;33.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;36.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;38.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200223.0;6.0;41.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;2.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;5.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;10.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;13.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;17.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;20.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;23.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;24.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;28.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;32.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;34.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;38.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200223.0;2.0;40.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;3.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;5.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;11.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;12.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;18.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;20.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;22.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200223.0;5.0;25.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;2.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;5.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;9.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;13.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;16.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;20.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;22.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;25.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;27.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;31.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;35.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;39.0;1    ;2020/06/23 22:10:25.000000000
3.0;4.0;20200323.0;4.0;40.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;4.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;6.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;8.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;12.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;17.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;19.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;21.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;24.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;28.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;33.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;36.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;38.0;1    ;2020/06/23 22:10:25.000000000
4.0;3.0;20200323.0;6.0;41.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200323.0;2.0;2.0;1    ;2020/06/23 22:10:25.000000000
2.0;2.0;20200323.0;2.0;5.0;1    ;2020/06/23 22:10:25.000000000
